Room Id,Neighborhood,Url,Bathrooms,Bedrooms,Price,Price Per Bedroom,Thumbnail,Subway Lines,Nearest Stop,Amenities,Last Updated
4459,Sunnyside,https://nooklyn.com/listings/4459,1.0,1.0,1750.0,1750.0,https://s3.amazonaws.com/nooklyn-pro/listings/4459/medium/43-09_40th_St._1BR.jpeg?1454984898,7,40th St. (7),"High Ceilings
Hardwood floors
Elevator
Laundry in building
Cats ok",2016-04-14T18:50:09.746-04:00
2618,Bushwick,https://nooklyn.com/listings/2618,1.0,3.0,3000.0,1000.0,https://s3.amazonaws.com/nooklyn-pro/listings/2618/medium/184.jpeg?1459183534,L M,"Morgan L, Jefferson L, Central M","High Ceilings
Exposed brick
Hardwood floors
Central A/C
Video Intercom
Laundry in building
Eat In Kitchen
Stainless Steel Appliances
Dishwasher
Built in microwave
Stone countertops
Small dogs ok
Cats ok",2016-04-19T13:43:27.445-04:00
3420,Crown Heights,https://nooklyn.com/listings/3420,1.0,2.0,2600.0,1300.0,https://s3.amazonaws.com/nooklyn-pro/listings/3420/medium/DSC_0009.jpg?1454978433,2 3 4 5 S A C,"Franklin Ave, Park Pl, Nostrand Ave","Hardwood floors
Video Intercom
Central A/C
Laundry in building
Stainless Steel Appliances
Small dogs ok
Cats ok
Dishwasher
Built in microwave
Eat In Kitchen
Granite countertops
Stone countertops
Roof access
Outdoor Space
High Ceilings
Duplex
Basement",2016-04-11T15:36:37.950-04:00
2741,Bushwick,https://nooklyn.com/listings/2741,1.5,3.0,2700.0,900.0,https://s3.amazonaws.com/nooklyn-pro/listings/2741/medium/FullSizeRender_%2810%29.jpg?1454974693,L J,"chauncey J, Bushwick-Aberdeen L","Hardwood floors
Stainless Steel Appliances
Eat In Kitchen
High Ceilings
Storage space
Small dogs ok
Cats ok
Built in microwave
Granite countertops",2016-04-11T00:42:15.968-04:00
4159,Williamsburg,https://nooklyn.com/listings/4159,2.0,3.0,6350.0,2116.6666666666665,https://s3.amazonaws.com/nooklyn-pro/listings/4159/medium/HomeImage7_806x437.jpg?1454982718,L,"Bedford Ave (L), Marcy Ave (JMZ)","High Ceilings
Hardwood floors
Exposed brick
Doorman
Washer dryer installed
Lounge
Private parking
Zipcar
Private roof deck
Skyline view
Stainless Steel Appliances
Terrace
Dishwasher
Built in microwave
All pets ok",2016-04-19T09:53:15.540-04:00
2758,Bed-Stuy,https://nooklyn.com/listings/2758,1.0,4.0,3200.0,800.0,https://s3.amazonaws.com/nooklyn-pro/listings/2758/medium/890Jefferson-71_web.jpg?1454974764,J,Halsey J,"High Ceilings
Hardwood floors
Exposed brick
Central A/C
Video Intercom
Laundry in building
Common courtyard
Eat In Kitchen
Stainless Steel Appliances
Built in microwave
Granite countertops
Small dogs ok
Cats ok",2016-04-14T11:16:34.565-04:00
4610,Flatbush,https://nooklyn.com/listings/4610,1.0,3.0,2400.0,800.0,https://s3.amazonaws.com/nooklyn-pro/listings/4610/medium/IMG_4413.jpg?1454985776,2 5 B Q,"Newkirk Plaza (B,Q) Newkirk Ave (2,5)","High Ceilings
Hardwood floors
Elevator
Laundry in building
Small dogs ok
Cats ok",2016-04-02T09:28:39.718-04:00
2590,Bed-Stuy,https://nooklyn.com/listings/2590,2.0,4.0,4300.0,1075.0,https://s3.amazonaws.com/nooklyn-pro/listings/2590/medium/IMG_5177.JPG?1454974079,C,Kingston,"High Ceilings
Hardwood floors
Exposed brick
Central A/C
Eat In Kitchen
Stainless Steel Appliances
Built in microwave
Stone countertops
Laundry in building",2016-04-21T14:45:46.799-04:00
4867,Bed-Stuy,https://nooklyn.com/listings/4867,1.0,2.0,2050.0,1025.0,https://s3.amazonaws.com/nooklyn-pro/listings/4867/medium/_MG_9700.jpg?1460821142,A C,"Kingston C, Utica A, C","Hardwood floors
High Ceilings
Eat In Kitchen
Small dogs ok
Cats ok",2016-04-16T11:39:03.179-04:00
4697,Clinton Hill,https://nooklyn.com/listings/4697,1.5,4.0,4000.0,1000.0,https://s3.amazonaws.com/nooklyn-pro/listings/4697/medium/IMG_1575.jpeg?1458066204,C S G,"Franklin Av C/S, Classon Av G","Hardwood floors
High Ceilings
Exposed brick
Central A/C
Outdoor Space
Roof access
Eat In Kitchen
Stainless Steel Appliances
Stone countertops
Small dogs ok
Cats ok",2016-04-03T17:18:54.517-04:00
4652,Bushwick,https://nooklyn.com/listings/4652,2.5,3.0,2500.0,833.3333333333334,https://s3.amazonaws.com/nooklyn-pro/listings/4652/medium/IMG_6914.JPG?1454985956,L J Z A C,"Bushwiek Aberdeen (L), Chauncey (J), Broadway Junction (A, C, J, Z, L)","Stainless Steel Appliances
High Ceilings
Hardwood floors
Duplex
Small dogs ok
Cats ok",2016-04-14T12:34:51.318-04:00
5282,Greenpoint,https://nooklyn.com/listings/5282,1.0,1.0,2250.0,2250.0,https://s3.amazonaws.com/nooklyn-pro/listings/5282/medium/011_1A-2.jpg?1459705609,L G,Graham Avenue ,"Central A/C
Video Intercom
Outdoor Space
Common courtyard
Skyline view
Roof access
Bike storage
Stainless Steel Appliances
Dishwasher
Granite countertops
Laundry in building
Gym
Game room
Lounge
All pets ok",2016-04-04T14:24:39.474-04:00
1491,Bushwick,https://nooklyn.com/listings/1491,1.0,1.0,1750.0,1750.0,https://s3.amazonaws.com/nooklyn-pro/listings/1491/medium/51_Eldert_Street-11.jpg?1460559866,J,Halsey st. ,"High Ceilings
Hardwood floors
Laundry in building
Eat In Kitchen
Stainless Steel Appliances",2016-04-19T13:29:34.869-04:00
4161,Williamsburg,https://nooklyn.com/listings/4161,1.5,1.0,5400.0,5400.0,https://s3.amazonaws.com/nooklyn-pro/listings/4161/medium/HomeImage2_806x437.jpg?1454982724,M L Z J,"Bedford Ave (L), Marcy Ave (JMZ)","Hardwood floors
High Ceilings
Exposed brick
Doorman
Washer dryer installed
Zipcar
Private parking
Lounge
Outdoor Space
Private roof deck
Skyline view
Stainless Steel Appliances
Dishwasher
Built in microwave
All pets ok",2016-04-19T09:38:19.306-04:00
4230,Bed-Stuy,https://nooklyn.com/listings/4230,1.0,1.5,2125.0,1416.6666666666667,https://s3.amazonaws.com/nooklyn-pro/listings/4230/medium/673_Halsey_Street__Apartments-18.jpg?1454983201,J Z A C,"HALSEY, GATES J & Z RALPH C UTICA A C","Hardwood floors
High Ceilings
Exposed brick
Central A/C
Video Intercom
Laundry in building
Storage space
Eat In Kitchen
Stainless Steel Appliances
Stone countertops
Built in microwave
Small dogs ok
Cats ok",2016-04-06T13:49:43.549-04:00
3110,Bushwick,https://nooklyn.com/listings/3110,1.5,4.0,3850.0,962.5,https://s3.amazonaws.com/nooklyn-pro/listings/3110/medium/418_Melrose_Street__2B-2.jpg?1454976395,L,Jefferson L,"Hardwood floors
High Ceilings
Exposed brick
Central A/C
Video Intercom
Laundry in building
Skyline view
Roof access
Stainless Steel Appliances
Built in microwave
Stone countertops",2016-04-21T14:29:52.036-04:00
5371,Bushwick,https://nooklyn.com/listings/5371,1.0,2.0,2200.0,1100.0,https://s3.amazonaws.com/nooklyn-pro/listings/5371/medium/14Living.jpg?1460161976,L,"Morgan L, Jefferson L","High Ceilings
Hardwood floors
Stainless Steel Appliances
Skyline view",2016-04-16T11:10:24.046-04:00
4819,Williamsburg,https://nooklyn.com/listings/4819,1.0,2.0,3300.0,1650.0,https://s3.amazonaws.com/nooklyn-pro/listings/4819/medium/78_Jackson_Street__2L-15.jpg?1456371013,L G,"Lorimer L, Grand L, Metropolitan G","Hardwood floors
High Ceilings
Central A/C
Video Intercom
Balcony
Stainless Steel Appliances
Stone countertops
Cats ok
Small dogs ok
Laundry in building
Dishwasher",2016-04-13T13:09:34.074-04:00
1904,Bed-Stuy,https://nooklyn.com/listings/1904,1.5,5.0,4500.0,900.0,https://s3.amazonaws.com/nooklyn-pro/listings/1904/medium/00606_43NOKTcimO9_600x450.jpg?1454971683,J M Z G,Myrtle ave JMZ Myrtle G,"Hardwood floors
Central A/C
Dishwasher
Stainless Steel Appliances
Washer dryer installed
Shared backyard
Cats ok
Small dogs ok",2016-04-13T11:18:51.529-04:00
4462,Williamsburg,https://nooklyn.com/listings/4462,1.0,3.0,3900.0,1300.0,https://s3.amazonaws.com/nooklyn-pro/listings/4462/medium/unnamed.png?1454984909,L,"","Dishwasher
All pets ok
High Ceilings
Hardwood floors",2016-03-28T14:36:19.136-04:00
2873,Williamsburg,https://nooklyn.com/listings/2873,1.0,0.0,1700.0,Infinity,https://s3.amazonaws.com/nooklyn-pro/listings/2873/medium/File_000.jpeg?1458248855,J M G,"Lorimer Street (J,M), Broadway (G)","Hardwood floors
Outdoor Space
Eat In Kitchen",2016-04-21T19:12:09.085-04:00
2591,Bed-Stuy,https://nooklyn.com/listings/2591,2.0,4.0,3700.0,925.0,https://s3.amazonaws.com/nooklyn-pro/listings/2591/medium/IMG_5189.JPG?1454974083,C,Kingston,"High Ceilings
Hardwood floors
Exposed brick
Central A/C
Video Intercom
Laundry in building
Eat In Kitchen
Stainless Steel Appliances
Built in microwave
Stone countertops",2016-04-21T14:45:09.295-04:00
3793,Crown Heights,https://nooklyn.com/listings/3793,1.0,4.0,2900.0,725.0,https://s3.amazonaws.com/nooklyn-pro/listings/3793/medium/image1.jpeg?1454980612,C 3,"Kingston-Throop Ave, Kingston Ave","Hardwood floors
High Ceilings
Eat In Kitchen
Stainless Steel Appliances
Dishwasher
Built in microwave
Stone countertops
All pets ok",2016-04-21T14:44:01.634-04:00
2770,Ridgewood,https://nooklyn.com/listings/2770,1.0,3.0,2600.0,866.6666666666666,https://s3.amazonaws.com/nooklyn-pro/listings/2770/medium/living1.jpg?1454974808,M,Fresh Pond M,"High Ceilings
Hardwood floors
Stainless Steel Appliances
Dishwasher
Eat In Kitchen
Built in microwave
Granite countertops",2016-04-18T13:49:43.768-04:00
4873,Bushwick,https://nooklyn.com/listings/4873,2.0,4.0,3300.0,825.0,https://s3.amazonaws.com/nooklyn-pro/listings/4873/medium/1071_broadway_back-7.jpg?1458772142,J,kosciousko J,"Hardwood floors
High Ceilings
Video Intercom
Central A/C
Stainless Steel Appliances
Dishwasher
Built in microwave
Stone countertops
Cats ok
Small dogs ok",2016-04-06T18:39:58.090-04:00
2754,Prospect Heights,https://nooklyn.com/listings/2754,1.0,2.0,2750.0,1375.0,https://s3.amazonaws.com/nooklyn-pro/listings/2754/medium/Screen_Shot_2015-01-30_at_12.21.26_PM.png?1454974740,S 2 3 5 4,"Franklin Av 2/3/4/5, Eastern Pkwy - Brooklyn Museum 2/3, Botanic Garden S, Park Pl S","High Ceilings
Hardwood floors
Video Intercom
Laundry in building
Stone countertops
Dishwasher
Stainless Steel Appliances
Roof access
Small dogs ok
Cats ok",2016-04-21T14:52:38.426-04:00
237,Bushwick,https://nooklyn.com/listings/237,1.0,2.0,2250.0,1125.0,https://s3.amazonaws.com/nooklyn-pro/listings/237/medium/1.jpeg?1459891723,L,Jefferson Street (L),"Hardwood Floors
New Amenities
Hardwood floors
High Ceilings
Small dogs ok
Cats ok",2016-04-19T12:03:35.752-04:00
4713,Bushwick,https://nooklyn.com/listings/4713,1.5,3.0,3000.0,1000.0,https://s3.amazonaws.com/nooklyn-pro/listings/4713/medium/390_Bleecker_Street__3rd_Floor-23.jpg?1456879339,L M,"Myrtle Wyckoff  L/M, Dekalb L","Hardwood floors
High Ceilings",2016-04-17T18:21:31.276-04:00
5306,Williamsburg,https://nooklyn.com/listings/5306,1.0,2.0,2500.0,1250.0,https://s3.amazonaws.com/nooklyn-pro/listings/5306/medium/unnamed-4.jpg?1459810057,L J M Z G,Montrose L,"High Ceilings
Laundry in building
Bike storage
Granite countertops
All pets ok",2016-04-15T12:45:09.351-04:00
5274,Ridgewood,https://nooklyn.com/listings/5274,1.0,2.0,1600.0,800.0,https://s3.amazonaws.com/nooklyn-pro/listings/5274/medium/2016-03-29_17.40.33.jpg?1459540491,"","","Hardwood floors
Stone countertops
Stainless Steel Appliances",2016-04-01T15:54:58.019-04:00
5067,Bushwick,https://nooklyn.com/listings/5067,1.0,2.0,2700.0,1350.0,https://s3.amazonaws.com/nooklyn-pro/listings/5067/medium/782-5c.jpg?1459718366,L M,"","High Ceilings
Hardwood floors
Central A/C
Video Intercom
Laundry in building
Bike storage
Gym
Private parking
Outdoor Space
Balcony
Roof access
Skyline view
Stainless Steel Appliances
Dishwasher
Granite countertops
Small dogs ok
Cats ok",2016-04-19T13:45:29.997-04:00
4765,Bed-Stuy,https://nooklyn.com/listings/4765,1.0,3.0,2875.0,958.3333333333334,https://s3.amazonaws.com/nooklyn-pro/listings/4765/medium/62a549670886cb323f7a2b0a1f4489da.jpg?1457468955,G C,"Franklin Ave AC, Bedford Nostrand G","High Ceilings
Hardwood floors
Eat In Kitchen
Stainless Steel Appliances
Dishwasher
Exposed brick
Dogs ok
Small dogs ok
Stone countertops",2016-04-12T12:09:27.703-04:00
5098,Harlem,https://nooklyn.com/listings/5098,1.0,1.0,1995.0,1995.0,https://s3.amazonaws.com/nooklyn-pro/listings/5098/medium/image.jpeg?1458223789,C A B D,"C Train at 155th St. A,C,B,D Trains at 145th St.","High Ceilings
Hardwood floors
Elevator
Laundry in building
Storage space
Stainless Steel Appliances
Built in microwave
Dishwasher
Stone countertops
Basement
All pets ok",2016-04-11T17:38:01.077-04:00
4749,Fort Greene,https://nooklyn.com/listings/4749,1.5,3.0,3995.0,1331.6666666666667,https://s3.amazonaws.com/nooklyn-pro/listings/4749/medium/Screen_Shot_2016-02-13_at_3.16.54_PM.png?1455395165,B Q R G C,"Dekalb Ave BQR, Fulton St G, Fulton C","Exposed brick
Hardwood floors
High Ceilings
Dishwasher
Stainless Steel Appliances
Eat In Kitchen
Granite countertops",2016-04-04T14:48:05.387-04:00
5401,Bushwick,https://nooklyn.com/listings/5401,2.0,3.0,2800.0,933.3333333333334,https://s3.amazonaws.com/nooklyn-pro/listings/5401/medium/image.jpeg?1460406286,L J M,"","Dogs ok
All pets ok
Eat In Kitchen
Stainless Steel Appliances
Built in microwave
Stone countertops
Washer dryer installed
Hardwood floors
Exposed brick
High Ceilings
Video Intercom",2016-04-21T15:08:37.514-04:00
